"text","created","url","latitude","longitude","retweetCount","hashtag"
"How the CMOs of #Spotify, #Audible and #Zendesk Tackle Global Markets https://t.co/zUSHVbczJN",2017-08-11 23:10:07,"https://twitter.com/AngelaTague/status/896146739870154753",NA,NA,1,"#spotify"
"Is your #Music available on the major online music stores &amp; streaming sites? #iTunes #Spotify #Amazon #Deezer #Tidal https://t.co/zB8Hl3fTVB",2017-08-11 23:08:22,"https://twitter.com/TheNewsSite/status/896146301829525505",NA,NA,0,"#spotify"
"146 songs, 8 hours &amp; 46 minutes now on #5k #Run #Workout #Playlist on #Spotify. #ColorRun #Runner #Happiest5k #<ed><a0><bc><ed><bf><83> <e2><99><ab> https://t.co/1BcBVid6mA",2017-08-11 23:07:16,"https://twitter.com/michaeldaughert/status/896146022828621824",NA,NA,0,"#spotify"
"Home. Jazz is on. Pasta and meat sauce is cooking. Time for an adult beverage!  #TGIF #Spotify #GoodVibes #WeekendMood",2017-08-11 23:04:20,"https://twitter.com/jaimeturner/status/896145287588192256",NA,NA,0,"#spotify"
"Gater Gang Chronicles available now #tidal #mtv #spotify #itunes #applemusic #googleplay #amazon<e2><80><a6> https://t.co/Kv9Mom4PAJ",2017-08-11 23:02:37,"https://twitter.com/GaterGang/status/896144853171544064",NA,NA,0,"#spotify"
"Out NOW!! Get @DenaAmyKaplan's  'Your Eyes' on iTunes, Apple Music and #Spotify today! #EDM #newmusic https://t.co/XRmw3n2LxW",2017-08-11 23:01:20,"https://twitter.com/AvantTheoryMag/status/896144531967549440",NA,NA,0,"#spotify"
"Check out my new single ""Somebody Loves Me"" distributed by DistroKid and live on #Spotify! https://t.co/GsMPNUsJhM https://t.co/WFDTQAsDL5",2017-08-11 23:00:50,"https://twitter.com/jonlairdmusic/status/896144403584008192",NA,NA,0,"#spotify"
"TheKeep(phraze &amp; jayroctomologist) - The Skunk - prod. by ThovoBeats #hiphop #rap #spotify #itunes #TheKeep https://t.co/ogyLtIoMOL",2017-08-11 23:00:21,"https://twitter.com/iamphraze/status/896144283975073792",NA,NA,0,"#spotify"
"I'd love to edit my profile on #Spotify but need to get 250 followers to update it. Would you follow me there? https://t.co/A6yn46evHb",2017-08-11 23:00:12,"https://twitter.com/gregwyard/status/896144244460498944",NA,NA,1,"#spotify"
"Spotify playlist with Elliphant #elliphant and Jessie J #jessiej https://t.co/ULMeolk6Op #spotify https://t.co/y8IBF1ntg3",2017-08-11 23:00:04,"https://twitter.com/spotifyplaylsts/status/896144211128365056",NA,NA,0,"#spotify"
"Send your #soundcloud #youtube and #spotify links to https://t.co/cr1pSI5Dqc for FREE promo x radio spins",2017-08-11 23:00:03,"https://twitter.com/Bread_Squad/status/896144210180440068",NA,NA,0,"#spotify"
"Gater Gang Chronicles available now #tidal #mtv #spotify #itunes #applemusic #googleplay #amazon<e2><80><a6> https://t.co/lIaFN9eE8S",2017-08-11 22:59:56,"https://twitter.com/GaterGang/status/896144179700539392",NA,NA,0,"#spotify"
"Retweeted Jennifer Mlott (@JenniferMlott):

Find me on these digital download sites <e2><96><b6><e2><96><b6> #itunes #spotify... https://t.co/dzVrhGMJwn",2017-08-11 22:59:49,"https://twitter.com/Ryaboshapko/status/896144150642311168",NA,NA,1,"#spotify"
"Thanks<ed><a0><bd><ed><b2><9b> @RapJuggernaut for picking up my #newvideo #iknow!<ed><a0><bd><ed><b9><8f><ed><a0><bc><ed><bf><bd> #JCTripleThreat #grateful #spotify<e2><80><a6> https://t.co/cfHusJCjgw",2017-08-11 22:58:52,"https://twitter.com/JC_TripleThreat/status/896143912464547840",NA,NA,0,"#spotify"
"Have #Spotify ?

Follow us and listen to our new album on there.

https://t.co/EiU35iE92N

#dreampop #shoegaze #postpunk #etherealwave",2017-08-11 22:58:33,"https://twitter.com/xThousandHours/status/896143830214254592",NA,NA,1,"#spotify"
"Let's talk about it...... #soundcloud #itunes #Spotify #THOTTYbotty https://t.co/zI7u8VgpkO",2017-08-11 22:58:29,"https://twitter.com/FreshAttics/status/896143812589780992",NA,NA,2,"#spotify"
"<ed><a0><bc><ed><bf><9e>from my first tape waterfall-theory - more on Spotify https://t.co/g8EnOuymkE #Spotify #beats #lofi #instrumentals https://t.co/Jl2SdTVYxG",2017-08-11 22:58:15,"https://twitter.com/MisanthropMusic/status/896143754041503744",NA,NA,0,"#spotify"
"weird<ed><a0><bd><ed><b8><ae>#spotify picks pretty music for me in discover weekly<ed><a0><be><ed><b4><94>guess I'm indie girl/twee pop/provincial Baroque 60s/soft reminiscent/chanteuse<ed><a0><bd><ed><b8><82>",2017-08-11 22:57:45,"https://twitter.com/romanletters/status/896143630175318017",NA,NA,0,"#spotify"
"Gater Gang Chronicles available now #tidal #mtv #spotify #itunes #applemusic #googleplay #amazon<e2><80><a6> https://t.co/L7SqxKVmrj",2017-08-11 22:56:55,"https://twitter.com/GaterGang/status/896143421496217601",NA,NA,0,"#spotify"
"&gt;&gt;&gt; #SoultrainAfterDARK #NowPlaying Waterfalls Recorded #Spotify Studios #NYC by @TLC &lt;&lt;&lt; <e2><99><ab> https://t.co/lsIMN9yNWI",2017-08-11 22:56:52,"https://twitter.com/LovePunaanyBad/status/896143409181638656",NA,NA,0,"#spotify"
"2nd Generation Album (2015)  https://t.co/daPC3oi9tF #Spotify",2017-08-11 22:55:55,"https://twitter.com/kakicchysmusic3/status/896143167342301184",NA,NA,0,"#spotify"
"#NowPlaying About to Burn on #Spotify available on #PSMusic https://t.co/BZqhuLKy7r",2017-08-11 22:55:43,"https://twitter.com/mkadragonslayer/status/896143118168227842",NA,NA,0,"#spotify"
